audio_file,target_word,participant_id,native_language,condition,accent_condition,talker,pass_number,trial_number,word_number,take_number,spoken_form,practice_note
practice_audio/english/chocolate.mp3,chocolate,practice,english,practice,english,Samantha,,1,1,,chocolate,Native English TTS practice sample
practice_audio/japanese/chocolate.mp3,chocolate,practice,japanese,practice,japanese,Kyoko,,1,1,,チョコレート,Japanese katakana-shaped practice sample
practice_audio/chinese/chocolate.mp3,chocolate,practice,chinese,practice,chinese,Tingting,,1,1,,巧克力,Chinese cognate/loanword-shaped practice sample
practice_audio/english/coffee.mp3,coffee,practice,english,practice,english,Samantha,,2,2,,coffee,Native English TTS practice sample
practice_audio/japanese/coffee.mp3,coffee,practice,japanese,practice,japanese,Kyoko,,2,2,,コーヒー,Japanese katakana-shaped practice sample
practice_audio/chinese/coffee.mp3,coffee,practice,chinese,practice,chinese,Tingting,,2,2,,咖啡,Chinese cognate/loanword-shaped practice sample
practice_audio/english/pizza.mp3,pizza,practice,english,practice,english,Samantha,,3,3,,pizza,Native English TTS practice sample
practice_audio/japanese/pizza.mp3,pizza,practice,japanese,practice,japanese,Kyoko,,3,3,,ピザ,Japanese katakana-shaped practice sample
practice_audio/chinese/pizza.mp3,pizza,practice,chinese,practice,chinese,Tingting,,3,3,,披萨,Chinese cognate/loanword-shaped practice sample
practice_audio/english/sofa.mp3,sofa,practice,english,practice,english,Samantha,,4,4,,sofa,Native English TTS practice sample
practice_audio/japanese/sofa.mp3,sofa,practice,japanese,practice,japanese,Kyoko,,4,4,,ソファ,Japanese katakana-shaped practice sample
practice_audio/chinese/sofa.mp3,sofa,practice,chinese,practice,chinese,Tingting,,4,4,,沙发,Chinese cognate/loanword-shaped practice sample
